
====== dayiunip.db ======

  [含簡體字的詞條] (407):
    id=836191, word=做在  (正體應為: 做在)
    ... 共 306 條

  [大陸特有用語] (56):
    id=841444, word=人大
    id=841443, word=人大
    id=841442, word=人大
    id=843013, word=人民幣
    id=843012, word=人民幣
    id=839627, word=信息
    id=839624, word=信息
    id=839625, word=信息
    id=839626, word=信息
    id=828513, word=先生
    id=828512, word=先生
    id=865394, word=初中
    id=865393, word=初中
    id=830254, word=同志
    id=830253, word=同志
    id=846025, word=同胞
    id=846024, word=同胞
    id=848727, word=報社
    id=848728, word=報社
    id=834528, word=外匯
    id=834527, word=外匯
    id=841363, word=市政府
    id=841362, word=市政府
    id=849315, word=幹事
    id=849314, word=幹事
    id=835749, word=幹部
    id=835748, word=幹部
    id=878387, word=新華社
    id=878388, word=新華社
    id=857989, word=方言
    id=857988, word=方言
    id=862936, word=書記
    id=862937, word=書記
    id=842702, word=火車站
    id=842704, word=火車站
    id=842701, word=火車站
    id=842703, word=火車站
    id=843887, word=省政府
    id=843886, word=省政府
    id=843888, word=省政府
    id=843885, word=省政府
    id=855286, word=軟件
    id=855287, word=軟件
    id=863635, word=電臺
    id=863636, word=電臺
    id=832777, word=領導
    id=832776, word=領導
    id=840926, word=首長
    id=840927, word=首長
    id=840925, word=首長
    id=840924, word=首長
    id=831928, word=高級中學
    id=831929, word=高級中學
    id=831927, word=高級中學
    id=850833, word=高考
    id=850832, word=高考
